Numero Infectados,Porcentaje Infectados,Promedio Infectados,Numero Susceptibles,Porcentaje Susceptibles,Promedio Susceptibles,Numero Resistentes,Porcentaje Resistentes,Promedio Resistentes
10,0.1,10,90,0.9,90,0,0,0
13,0.13,13,87,0.87,87,0,0,0
15,0.15,14,85,0.85,86,0,0,0
22,0.22,16.7,78,0.78,83.3,0,0,0
28,0.28,19.5,72,0.72,80.5,0,0,0
34,0.34,22.4,66,0.66,77.6,0,0,0
41,0.41,25.5,59,0.59,74.5,0,0,0
46,0.46,28.4,54,0.54,71.6,0,0,0
51,0.51,31.3,49,0.49,68.8,0,0,0
54,0.54,33.8,46,0.46,66.2,0,0,0
53,0.53,35.7,47,0.47,64.3,0,0,0
60,0.6,37.9,40,0.4,62.1,0,0,0
66,0.66,40.3,34,0.34,59.8,0,0,0
74,0.74,42.8,26,0.26,57.2,0,0,0
77,0.77,45.3,23,0.23,54.7,0,0,0
82,0.82,47.7,18,0.18,52.3,0,0,0
84,0.84,50,16,0.16,50,0,0,0
84,0.84,52,16,0.16,48,0,0,0
87,0.87,53.9,13,0.13,46.1,0,0,0
86,0.86,55.6,14,0.14,44.4,0,0,0
90,0.9,57.4,10,0.1,42.6,0,0,0
93,0.93,59,7,0.07,41,0,0,0
95,0.95,60.7,5,0.05,39.3,0,0,0
95,0.95,62.2,5,0.05,37.8,0,0,0
95,0.95,63.5,5,0.05,36.5,0,0,0
94,0.94,64.8,6,0.06,35.2,0,0,0
95,0.95,65.9,5,0.05,34.1,0,0,0
95,0.95,67,5,0.05,33,0,0,0
93,0.93,67.9,7,0.07,32.1,0,0,0
97,0.97,68.9,3,0.03,31.1,0,0,0
97,0.97,69.9,3,0.03,30.1,0,0,0
96,0.96,70.7,4,0.04,29.3,0,0,0
96,0.96,71.5,4,0.04,28.5,0,0,0
96,0.96,72.2,4,0.04,27.8,0,0,0
94,0.94,72.9,6,0.06,27.1,0,0,0
94,0.94,73.5,6,0.06,26.5,0,0,0
94,0.94,74.1,6,0.06,25.9,0,0,0
92,0.92,74.5,8,0.08,25.5,0,0,0
93,0.93,75,7,0.07,25,0,0,0
94,0.94,75.5,6,0.06,24.5,0,0,0
92,0.92,75.9,8,0.08,24.1,0,0,0
92,0.92,76.3,8,0.08,23.7,0,0,0
96,0.96,76.8,4,0.04,23.2,0,0,0
94,0.94,77.2,6,0.06,22.8,0,0,0
95,0.95,77.6,5,0.05,22.4,0,0,0
96,0.96,78,4,0.04,22,0,0,0
95,0.95,78.4,5,0.05,21.6,0,0,0
96,0.96,78.7,4,0.04,21.3,0,0,0
98,0.98,79.1,2,0.02,20.9,0,0,0
97,0.97,79.5,3,0.03,20.5,0,0,0
97,0.97,79.9,3,0.03,20.1,0,0,0
97,0.97,80.2,3,0.03,19.8,0,0,0
97,0.97,80.5,3,0.03,19.5,0,0,0
97,0.97,80.8,3,0.03,19.2,0,0,0
98,0.98,81.1,2,0.02,18.9,0,0,0
95,0.95,81.4,5,0.05,18.6,0,0,0
97,0.97,81.7,3,0.03,18.3,0,0,0
